noisy_image_path,original_image_path,noise_type,noise_params
DATA\noisy\train\253055_gauss.jpg,DATA\original\253055.jpg,gaussian,"mean=-4,std=22"
DATA\noisy\train\253055_poisson.jpg,DATA\original\253055.jpg,poisson,scale=0.73
DATA\noisy\train\253055_sp.jpg,DATA\original\253055.jpg,salt_and_pepper,prob=0.039
DATA\noisy\train\147077_gauss.jpg,DATA\original\147077.jpg,gaussian,"mean=2,std=26"
DATA\noisy\train\147077_poisson.jpg,DATA\original\147077.jpg,poisson,scale=1.35
DATA\noisy\train\147077_sp.jpg,DATA\original\147077.jpg,salt_and_pepper,prob=0.027
DATA\noisy\train\100099_gauss.jpg,DATA\original\100099.jpg,gaussian,"mean=0,std=18"
DATA\noisy\train\100099_poisson.jpg,DATA\original\100099.jpg,poisson,scale=0.54
DATA\noisy\train\100099_sp.jpg,DATA\original\100099.jpg,salt_and_pepper,prob=0.017
DATA\noisy\train\163004_gauss.jpg,DATA\original\163004.jpg,gaussian,"mean=4,std=10"
DATA\noisy\train\163004_poisson.jpg,DATA\original\163004.jpg,poisson,scale=1.57
DATA\noisy\train\163004_sp.jpg,DATA\original\163004.jpg,salt_and_pepper,prob=0.048
DATA\noisy\train\188091_gauss.jpg,DATA\original\188091.jpg,gaussian,"mean=5,std=27"
DATA\noisy\train\188091_poisson.jpg,DATA\original\188091.jpg,poisson,scale=0.51
DATA\noisy\train\188091_sp.jpg,DATA\original\188091.jpg,salt_and_pepper,prob=0.027
DATA\noisy\train\187099_gauss.jpg,DATA\original\187099.jpg,gaussian,"mean=-1,std=23"
DATA\noisy\train\187099_poisson.jpg,DATA\original\187099.jpg,poisson,scale=1.03
DATA\noisy\train\187099_sp.jpg,DATA\original\187099.jpg,salt_and_pepper,prob=0.01
DATA\noisy\train\189011_gauss.jpg,DATA\original\189011.jpg,gaussian,"mean=-5,std=30"
DATA\noisy\train\189011_poisson.jpg,DATA\original\189011.jpg,poisson,scale=1.67
DATA\noisy\train\189011_sp.jpg,DATA\original\189011.jpg,salt_and_pepper,prob=0.012
DATA\noisy\train\146074_gauss.jpg,DATA\original\146074.jpg,gaussian,"mean=4,std=28"
DATA\noisy\train\146074_poisson.jpg,DATA\original\146074.jpg,poisson,scale=0.72
DATA\noisy\train\146074_sp.jpg,DATA\original\146074.jpg,salt_and_pepper,prob=0.012
DATA\noisy\train\42012_gauss.jpg,DATA\original\42012.jpg,gaussian,"mean=3,std=17"
DATA\noisy\train\42012_poisson.jpg,DATA\original\42012.jpg,poisson,scale=1.08
DATA\noisy\train\42012_sp.jpg,DATA\original\42012.jpg,salt_and_pepper,prob=0.039
DATA\noisy\train\2018_gauss.jpg,DATA\original\2018.jpg,gaussian,"mean=0,std=28"
DATA\noisy\train\2018_poisson.jpg,DATA\original\2018.jpg,poisson,scale=1.5
DATA\noisy\train\2018_sp.jpg,DATA\original\2018.jpg,salt_and_pepper,prob=0.024
DATA\noisy\train\86000_gauss.jpg,DATA\original\86000.jpg,gaussian,"mean=-3,std=5"
DATA\noisy\train\86000_poisson.jpg,DATA\original\86000.jpg,poisson,scale=0.96
DATA\noisy\train\86000_sp.jpg,DATA\original\86000.jpg,salt_and_pepper,prob=0.02
DATA\noisy\train\28075_gauss.jpg,DATA\original\28075.jpg,gaussian,"mean=4,std=28"
DATA\noisy\train\28075_poisson.jpg,DATA\original\28075.jpg,poisson,scale=1.3
DATA\noisy\train\28075_sp.jpg,DATA\original\28075.jpg,salt_and_pepper,prob=0.033
DATA\noisy\train\41006_gauss.jpg,DATA\original\41006.jpg,gaussian,"mean=-5,std=6"
DATA\noisy\train\41006_poisson.jpg,DATA\original\41006.jpg,poisson,scale=1.29
DATA\noisy\train\41006_sp.jpg,DATA\original\41006.jpg,salt_and_pepper,prob=0.031
DATA\noisy\train\259060_gauss.jpg,DATA\original\259060.jpg,gaussian,"mean=-4,std=19"
DATA\noisy\train\259060_poisson.jpg,DATA\original\259060.jpg,poisson,scale=0.86
DATA\noisy\train\259060_sp.jpg,DATA\original\259060.jpg,salt_and_pepper,prob=0.05
DATA\noisy\train\128035_gauss.jpg,DATA\original\128035.jpg,gaussian,"mean=2,std=11"
DATA\noisy\train\128035_poisson.jpg,DATA\original\128035.jpg,poisson,scale=1.92
DATA\noisy\train\128035_sp.jpg,DATA\original\128035.jpg,salt_and_pepper,prob=0.039
DATA\noisy\train\130026_gauss.jpg,DATA\original\130026.jpg,gaussian,"mean=2,std=20"
DATA\noisy\train\130026_poisson.jpg,DATA\original\130026.jpg,poisson,scale=0.74
DATA\noisy\train\130026_sp.jpg,DATA\original\130026.jpg,salt_and_pepper,prob=0.018
DATA\noisy\train\253016_gauss.jpg,DATA\original\253016.jpg,gaussian,"mean=1,std=29"
DATA\noisy\train\253016_poisson.jpg,DATA\original\253016.jpg,poisson,scale=0.61
DATA\noisy\train\253016_sp.jpg,DATA\original\253016.jpg,salt_and_pepper,prob=0.017
DATA\noisy\train\140055_gauss.jpg,DATA\original\140055.jpg,gaussian,"mean=3,std=15"
DATA\noisy\train\140055_poisson.jpg,DATA\original\140055.jpg,poisson,scale=1.27
DATA\noisy\train\140055_sp.jpg,DATA\original\140055.jpg,salt_and_pepper,prob=0.011
DATA\noisy\train\35070_gauss.jpg,DATA\original\35070.jpg,gaussian,"mean=2,std=6"
DATA\noisy\train\35070_poisson.jpg,DATA\original\35070.jpg,poisson,scale=0.89
DATA\noisy\train\35070_sp.jpg,DATA\original\35070.jpg,salt_and_pepper,prob=0.048
DATA\noisy\train\288024_gauss.jpg,DATA\original\288024.jpg,gaussian,"mean=2,std=25"
DATA\noisy\train\288024_poisson.jpg,DATA\original\288024.jpg,poisson,scale=1.31
DATA\noisy\train\288024_sp.jpg,DATA\original\288024.jpg,salt_and_pepper,prob=0.041
DATA\noisy\train\228076_gauss.jpg,DATA\original\228076.jpg,gaussian,"mean=4,std=8"
DATA\noisy\train\228076_poisson.jpg,DATA\original\228076.jpg,poisson,scale=0.8
DATA\noisy\train\228076_sp.jpg,DATA\original\228076.jpg,salt_and_pepper,prob=0.019
DATA\noisy\train\326085_gauss.jpg,DATA\original\326085.jpg,gaussian,"mean=3,std=26"
DATA\noisy\train\326085_poisson.jpg,DATA\original\326085.jpg,poisson,scale=1.49
DATA\noisy\train\326085_sp.jpg,DATA\original\326085.jpg,salt_and_pepper,prob=0.026
DATA\noisy\train\76053_gauss.jpg,DATA\original\76053.jpg,gaussian,"mean=5,std=16"
DATA\noisy\train\76053_poisson.jpg,DATA\original\76053.jpg,poisson,scale=1.83
DATA\noisy\train\76053_sp.jpg,DATA\original\76053.jpg,salt_and_pepper,prob=0.02
DATA\noisy\train\43070_gauss.jpg,DATA\original\43070.jpg,gaussian,"mean=-2,std=5"
DATA\noisy\train\43070_poisson.jpg,DATA\original\43070.jpg,poisson,scale=0.94
DATA\noisy\train\43070_sp.jpg,DATA\original\43070.jpg,salt_and_pepper,prob=0.024
DATA\noisy\train\247085_gauss.jpg,DATA\original\247085.jpg,gaussian,"mean=4,std=15"
DATA\noisy\train\247085_poisson.jpg,DATA\original\247085.jpg,poisson,scale=1.18
DATA\noisy\train\247085_sp.jpg,DATA\original\247085.jpg,salt_and_pepper,prob=0.048
DATA\noisy\train\243095_gauss.jpg,DATA\original\243095.jpg,gaussian,"mean=-4,std=16"
DATA\noisy\train\243095_poisson.jpg,DATA\original\243095.jpg,poisson,scale=0.8
DATA\noisy\train\243095_sp.jpg,DATA\original\243095.jpg,salt_and_pepper,prob=0.039
DATA\noisy\train\277095_gauss.jpg,DATA\original\277095.jpg,gaussian,"mean=1,std=23"
DATA\noisy\train\277095_poisson.jpg,DATA\original\277095.jpg,poisson,scale=0.63
DATA\noisy\train\277095_sp.jpg,DATA\original\277095.jpg,salt_and_pepper,prob=0.035
DATA\noisy\train\170054_gauss.jpg,DATA\original\170054.jpg,gaussian,"mean=-5,std=25"
DATA\noisy\train\170054_poisson.jpg,DATA\original\170054.jpg,poisson,scale=0.68
DATA\noisy\train\170054_sp.jpg,DATA\original\170054.jpg,salt_and_pepper,prob=0.022
DATA\noisy\train\271031_gauss.jpg,DATA\original\271031.jpg,gaussian,"mean=-5,std=8"
DATA\noisy\train\271031_poisson.jpg,DATA\original\271031.jpg,poisson,scale=1.79
DATA\noisy\train\271031_sp.jpg,DATA\original\271031.jpg,salt_and_pepper,prob=0.028
DATA\noisy\train\185092_gauss.jpg,DATA\original\185092.jpg,gaussian,"mean=2,std=24"
DATA\noisy\train\185092_poisson.jpg,DATA\original\185092.jpg,poisson,scale=0.59
DATA\noisy\train\185092_sp.jpg,DATA\original\185092.jpg,salt_and_pepper,prob=0.036
DATA\noisy\train\100039_gauss.jpg,DATA\original\100039.jpg,gaussian,"mean=-2,std=30"
DATA\noisy\train\100039_poisson.jpg,DATA\original\100039.jpg,poisson,scale=1.41
DATA\noisy\train\100039_sp.jpg,DATA\original\100039.jpg,salt_and_pepper,prob=0.018
DATA\noisy\train\103006_gauss.jpg,DATA\original\103006.jpg,gaussian,"mean=-1,std=21"
DATA\noisy\train\103006_poisson.jpg,DATA\original\103006.jpg,poisson,scale=0.6
DATA\noisy\train\103006_sp.jpg,DATA\original\103006.jpg,salt_and_pepper,prob=0.017
DATA\noisy\train\23080_gauss.jpg,DATA\original\23080.jpg,gaussian,"mean=2,std=13"
DATA\noisy\train\23080_poisson.jpg,DATA\original\23080.jpg,poisson,scale=0.86
DATA\noisy\train\23080_sp.jpg,DATA\original\23080.jpg,salt_and_pepper,prob=0.026
DATA\noisy\train\181091_gauss.jpg,DATA\original\181091.jpg,gaussian,"mean=4,std=10"
DATA\noisy\train\181091_poisson.jpg,DATA\original\181091.jpg,poisson,scale=1.05
DATA\noisy\train\181091_sp.jpg,DATA\original\181091.jpg,salt_and_pepper,prob=0.027
DATA\noisy\train\134052_gauss.jpg,DATA\original\134052.jpg,gaussian,"mean=4,std=28"
DATA\noisy\train\134052_poisson.jpg,DATA\original\134052.jpg,poisson,scale=1.45
DATA\noisy\train\134052_sp.jpg,DATA\original\134052.jpg,salt_and_pepper,prob=0.028
DATA\noisy\train\35049_gauss.jpg,DATA\original\35049.jpg,gaussian,"mean=-4,std=16"
DATA\noisy\train\35049_poisson.jpg,DATA\original\35049.jpg,poisson,scale=0.59
DATA\noisy\train\35049_sp.jpg,DATA\original\35049.jpg,salt_and_pepper,prob=0.049
DATA\noisy\train\77062_gauss.jpg,DATA\original\77062.jpg,gaussian,"mean=-1,std=18"
DATA\noisy\train\77062_poisson.jpg,DATA\original\77062.jpg,poisson,scale=1.64
DATA\noisy\train\77062_sp.jpg,DATA\original\77062.jpg,salt_and_pepper,prob=0.04
DATA\noisy\train\334025_gauss.jpg,DATA\original\334025.jpg,gaussian,"mean=4,std=27"
DATA\noisy\train\334025_poisson.jpg,DATA\original\334025.jpg,poisson,scale=0.9
DATA\noisy\train\334025_sp.jpg,DATA\original\334025.jpg,salt_and_pepper,prob=0.046
DATA\noisy\train\207056_gauss.jpg,DATA\original\207056.jpg,gaussian,"mean=-2,std=23"
DATA\noisy\train\207056_poisson.jpg,DATA\original\207056.jpg,poisson,scale=0.72
DATA\noisy\train\207056_sp.jpg,DATA\original\207056.jpg,salt_and_pepper,prob=0.018
